"ID","MonthlyIncome"
871,5821.14620082881
872,2716.26543279825
873,12294.2061236625
874,2095.1168592653
875,2202.73934215986
876,6436.58861270488
877,5261.71357827439
878,1908.47746533617
879,2447.1544443901
880,12609.4037094559
881,9692.79741725309
882,2464.77137901099
883,5990.06973859251
884,5829.71378818193
885,6328.31605173562
886,6198.80659795447
887,5996.56008147295
888,5979.43674136974
889,5386.94210673401
890,2826.64886606145
891,5745.29807431277
892,8613.11564295653
893,8849.41731959123
894,5416.80739946323
895,9716.52661878498
896,9247.51935828591
897,8613.03149177001
898,15975.05527349
899,5825.21113836579
900,2739.76314271896
901,2601.24200581404
902,5900.89995362227
903,6298.35477293175
904,3027.17785059708
905,16313.8872246325
906,5617.35744792446
907,9531.66959422369
908,6150.90363927098
909,2543.31680013368
910,2593.579247852
911,19181.6225582291
912,2699.07653608631
913,2580.57242842397
914,13333.5380093976
915,6056.89626382836
916,5108.68975388397
917,2520.31221476523
918,5743.80908411326
919,2278.431265488
920,2627.9323411806
921,2464.02014209357
922,2732.11563474042
923,5576.27747440702
924,5187.409149524
925,16899.8697246687
926,2499.82839730339
927,5920.18909399263
928,12993.5004997971
929,1919.69834719878
930,2574.25593111677
931,5878.98934192142
932,13159.4101933914
933,8718.4723734233
934,2475.76581380164
935,2353.81296590992
936,2058.92295180641
937,9113.73297407458
938,9280.36537601555
939,6019.36602375276
940,2578.35179984967
941,3016.71011075354
942,9078.69517150676
943,9693.86318647722
944,6234.34197659332
945,2090.55521371184
946,5836.04890448867
947,2587.0632039786
948,2563.62444126085
949,2467.25747514716
950,5634.59773557747
951,2502.6901821027
952,5829.13712884837
953,5833.53302337083
954,2363.94923543294
955,5098.1288256558
956,8197.13416740179
957,10390.7885341242
958,2067.97376117472
959,9446.56019666061
960,20065.8675574528
961,2675.69954667299
962,5645.70524136052
963,6134.82709573507
964,5707.65774018946
965,2563.69331144995
966,19410.3495410604
967,2279.94381870393
968,9136.52288700082
969,16806.0410455371
970,2403.08583921484
971,5927.32397442209
972,6032.7194435433
973,2189.06503654457
974,2403.78693065955
975,5953.64485512229
976,2690.51442094761
977,6479.2237165748
978,2323.00628366345
979,8830.37397560639
980,19426.2828330232
981,2402.04494096812
982,9216.62396335733
983,2748.48598754924
984,2570.69935795703
985,5887.79846335355
986,2574.93355107093
987,2662.64081452352
988,5761.65266889846
989,8960.70151417202
990,2719.68744402524
991,5973.34387913937
992,2604.10913726887
993,6084.06607311114
994,5530.16532306654
995,5082.99424414588
996,5765.52499261116
997,2563.52679174771
998,17038.9647360712
999,8850.10774796517
1000,2124.94714337133
1001,5930.01648966601
1002,5277.88148500644
1003,5542.28861787651
1004,6664.03140536157
1005,2868.44831942741
1006,5922.3786376929
1007,2507.45476245747
1008,5961.26689754901
1009,19550.533810143
1010,5887.45472876752
1011,9126.61315699245
1012,5820.68391215633
1013,6049.87579737756
1014,5381.05061029358
1015,5563.27453217355
1016,2412.62005476027
1017,2417.34045885034
1018,8675.86596677916
1019,9204.06166545435
1020,2206.90881653089
1021,5998.09282430494
1022,5466.34794609702
1023,5628.92447566674
1024,9912.97739217739
1025,16327.7811981757
1026,18830.669634505
1027,5529.16485217594
1028,5709.33271314055
1029,5835.5449128685
1030,9447.730527349
1031,5782.39322802791
1032,2937.62893893008
1033,12814.6634685625
1034,2562.5068211474
1035,4724.97801719958
1036,2571.26785058581
1037,5527.82494582636
1038,8858.72798938361
1039,12916.010482021
1040,5794.4097019235
1041,1944.62532016289
1042,2670.19951209013
1043,8849.01826569375
1044,6649.14700075211
1045,2371.49934764551
1046,2196.6078953681
1047,6103.39481360894
1048,12876.1559912695
1049,2582.85284882887
1050,5895.42813864565
1051,10002.1392003494
1052,2081.46531268705
1053,6003.11902292724
1054,2762.23259641795
1055,2568.27674195858
1056,2622.31689767723
1057,6183.17720947827
1058,15710.0221368933
1059,6245.53413695234
1060,2985.96010205878
1061,5896.88642855168
1062,6133.65581863012
1063,6350.87919404675
1064,2238.53885176154
1065,5683.4883552079
1066,2486.5461588128
1067,3361.12655751016
1068,19973.0536096761
1069,5365.42545429546
1070,2567.44416085385
1071,2682.44478078088
1072,6223.06913853656
1073,2590.26727887214
1074,6056.61725198446
1075,5734.67573157959
1076,16326.5561323177
1077,19470.1482384733
1078,5184.57693230875
1079,5597.97178938514
1080,5697.87509880813
1081,3114.13572250611
1082,2672.71245623304
1083,2347.26970761562
1084,6271.795208572
1085,8426.67369822023
1086,8625.21331887878
1087,5999.24998678456
1088,2537.94723813005
1089,2743.74096884014
1090,5729.83440276912
1091,5560.05056162946
1092,5827.00153967931
1093,12566.2271052614
1094,5496.27798443358
1095,5388.72190649971
1096,6127.65561244212
1097,3146.39965692977
1098,2419.66797702396
1099,2444.97162493721
1100,6106.35006324618
1101,19353.0049632154
1102,5814.90750742869
1103,6206.76849005432
1104,10072.7636270133
1105,2848.74111377663
1106,2546.04232665534
1107,3035.7927126765
1108,5451.80698800901
1109,5487.56357386646
1110,5677.94328630407
1111,5739.00042600366
1112,12947.5421809252
1113,13479.1691678549
1114,6284.49079463635
1115,9527.30005593172
1116,2827.69691806584
1117,6633.64873953191
1118,5322.24851647213
1119,9427.14319090306
1120,2548.3062537688
1121,9181.99835757752
1122,16472.0768624726
1123,5752.48755640079
1124,16277.437076805
1125,2628.46987218098
1126,1951.77560663448
1127,2574.63015710877
1128,5141.56868713132
1129,15882.2989658904
1130,2537.83731665713
1131,12719.3531033633
1132,16538.4595862676
1133,6148.97873130424
1134,1759.97329279272
1135,2389.36904936621
1136,2444.28942525682
1137,2637.99574194521
1138,5787.61671277803
1139,9089.06929665437
1140,15974.4792006817
1141,5905.39328011947
1142,5987.80080902087
1143,9709.38324702049
1144,5561.29202629608
1145,5677.16641334544
1146,5696.90309270603
1147,5201.45908135577
1148,2186.99372492372
1149,2773.26060369998
1150,6440.42624418494
1151,2368.68407614539
1152,5697.85246695265
1153,5862.18032753963
1154,2424.84905373401
1155,6190.63884130761
1156,12268.5187295927
1157,2479.52192564866
1158,5703.84334367552
1159,2670.26061953072
1160,5881.86452312184
1161,2795.40898093435
1162,8955.87268533076
1163,2408.32070165317
1164,9120.03445687405
1165,2443.61936937214
1166,1783.88148666375
1167,9322.18911383517
1168,5724.65580163571
1169,2617.96307675153
1170,2505.71845397246
